"","SourceFile","CreateDate"
"28","photos/20170614T195146 Canon PowerShot SX50 HS--IMG_9049.JPG","2017:06:14 19:51:46"
"29","photos/20170614T195205 Canon PowerShot SX50 HS--IMG_9050.JPG","2017:06:14 19:52:05"
"30","photos/20170614T195209 Canon PowerShot SX50 HS--IMG_9051.JPG","2017:06:14 19:52:09"
"31","photos/20170614T195212 Canon PowerShot SX50 HS--IMG_9052.JPG","2017:06:14 19:52:12"
"32","photos/20170614T195222 Canon PowerShot SX50 HS--IMG_9053.JPG","2017:06:14 19:52:22"
"33","photos/20170614T195225 Canon PowerShot SX50 HS--IMG_9054.JPG","2017:06:14 19:52:25"
"34","photos/20170614T195242 Canon PowerShot SX50 HS--IMG_9055.JPG","2017:06:14 19:52:42"
"35","photos/20170614T195257 Canon PowerShot SX50 HS--IMG_9056.JPG","2017:06:14 19:52:57"
"36","photos/20170614T195301 Canon PowerShot SX50 HS--IMG_9057.JPG","2017:06:14 19:53:01"
"37","photos/20170614T195319 Canon PowerShot SX50 HS--IMG_9058.JPG","2017:06:14 19:53:19"
"38","photos/20170614T195357 Canon PowerShot SX50 HS--IMG_9059.JPG","2017:06:14 19:53:57"
"39","photos/20170614T195416 Canon PowerShot SX50 HS--IMG_9060.JPG","2017:06:14 19:54:16"
"40","photos/20170614T195420 Canon PowerShot SX50 HS--IMG_9061.JPG","2017:06:14 19:54:20"
"41","photos/20170614T195435 Canon PowerShot SX50 HS--IMG_9062.JPG","2017:06:14 19:54:35"
"42","photos/20170614T195631 Canon PowerShot SX50 HS--IMG_9063.JPG","2017:06:14 19:56:31"
"43","photos/20170614T195635 Canon PowerShot SX50 HS--IMG_9064.JPG","2017:06:14 19:56:35"
"44","photos/20170614T195801 Canon PowerShot SX50 HS--IMG_9065.JPG","2017:06:14 19:58:01"
"45","photos/20170614T195820 Canon PowerShot SX50 HS--IMG_9066.JPG","2017:06:14 19:58:20"
"46","photos/20170614T195829 Canon PowerShot SX50 HS--IMG_9067.JPG","2017:06:14 19:58:29"
"47","photos/20170614T195837 Canon PowerShot SX50 HS--IMG_9068.JPG","2017:06:14 19:58:37"
"48","photos/20170614T195937 Canon PowerShot SX50 HS--IMG_9069.JPG","2017:06:14 19:59:37"
"49","photos/20170614T195945 Canon PowerShot SX50 HS--IMG_9070.JPG","2017:06:14 19:59:45"
"50","photos/20170614T200421 Canon PowerShot SX50 HS--IMG_9071.JPG","2017:06:14 20:04:21"
"51","photos/20170614T200426 Canon PowerShot SX50 HS--IMG_9072.JPG","2017:06:14 20:04:26"
"52","photos/20170614T200508 Canon PowerShot SX50 HS--IMG_9073.JPG","2017:06:14 20:05:08"
"53","photos/20170614T200532 Canon PowerShot SX50 HS--IMG_9074.JPG","2017:06:14 20:05:32"
"54","photos/20170614T200544 Canon PowerShot SX50 HS--IMG_9075.JPG","2017:06:14 20:05:44"
"55","photos/20170614T202111 Canon PowerShot SX50 HS--IMG_9076.JPG","2017:06:14 20:21:11"
"56","photos/20170614T202121 Canon PowerShot SX50 HS--IMG_9077.JPG","2017:06:14 20:21:21"
"57","photos/20170614T202128 Canon PowerShot SX50 HS--IMG_9078.JPG","2017:06:14 20:21:28"
"58","photos/20170614T202157 Canon PowerShot SX50 HS--IMG_9079.JPG","2017:06:14 20:21:57"
"59","photos/20170614T202204 Canon PowerShot SX50 HS--IMG_9080.JPG","2017:06:14 20:22:04"
"60","photos/20170614T202234 Canon PowerShot SX50 HS--IMG_9081.JPG","2017:06:14 20:22:34"
"61","photos/20170614T202244 Canon PowerShot SX50 HS--IMG_9082.JPG","2017:06:14 20:22:44"
"62","photos/20170614T202252 Canon PowerShot SX50 HS--IMG_9083.JPG","2017:06:14 20:22:52"
"63","photos/20170614T202309 Canon PowerShot SX50 HS--IMG_9084.JPG","2017:06:14 20:23:09"
"64","photos/20170614T202324 Canon PowerShot SX50 HS--IMG_9085.JPG","2017:06:14 20:23:24"
"65","photos/20170614T202337 Canon PowerShot SX50 HS--IMG_9086.JPG","2017:06:14 20:23:37"
"66","photos/20170614T202343 Canon PowerShot SX50 HS--IMG_9087.JPG","2017:06:14 20:23:43"
"67","photos/20170614T202400 Canon PowerShot SX50 HS--IMG_9088.JPG","2017:06:14 20:24:00"
"68","photos/20170614T202405 Canon PowerShot SX50 HS--IMG_9089.JPG","2017:06:14 20:24:05"
"69","photos/20170614T203801 Canon PowerShot SX50 HS--IMG_9090.JPG","2017:06:14 20:38:01"
"70","photos/20170614T203805 Canon PowerShot SX50 HS--IMG_9091.JPG","2017:06:14 20:38:05"
"71","photos/20170614T203811 Canon PowerShot SX50 HS--IMG_9092.JPG","2017:06:14 20:38:11"
"72","photos/20170614T203852 Canon PowerShot SX50 HS--IMG_9093.JPG","2017:06:14 20:38:52"
"73","photos/20170614T204106 Canon PowerShot SX50 HS--IMG_9094.JPG","2017:06:14 20:41:06"
"74","photos/20170614T204112 Canon PowerShot SX50 HS--IMG_9095.JPG","2017:06:14 20:41:12"
"75","photos/20170614T204126 Canon PowerShot SX50 HS--IMG_9096.JPG","2017:06:14 20:41:26"
"76","photos/20170614T204132 Canon PowerShot SX50 HS--IMG_9097.JPG","2017:06:14 20:41:32"
"77","photos/20170614T204847 Canon PowerShot SX50 HS--IMG_9098.JPG","2017:06:14 20:48:47"
"78","photos/20170614T204854 Canon PowerShot SX50 HS--IMG_9099.JPG","2017:06:14 20:48:54"
"79","photos/20170614T205502 Canon PowerShot SX50 HS--IMG_9100.JPG","2017:06:14 20:55:02"
"80","photos/20170614T205510 Canon PowerShot SX50 HS--IMG_9101.JPG","2017:06:14 20:55:10"
"81","photos/20170614T205523 Canon PowerShot SX50 HS--IMG_9102.JPG","2017:06:14 20:55:23"
"82","photos/20170614T205915 Canon PowerShot SX50 HS--IMG_9103.JPG","2017:06:14 20:59:15"
"83","photos/20170614T205920 Canon PowerShot SX50 HS--IMG_9104.JPG","2017:06:14 20:59:20"
"84","photos/20170614T205929 Canon PowerShot SX50 HS--IMG_9105.JPG","2017:06:14 20:59:29"
"85","photos/20170614T205947 Canon PowerShot SX50 HS--IMG_9106.JPG","2017:06:14 20:59:47"
"86","photos/20170614T205959 Canon PowerShot SX50 HS--IMG_9107.JPG","2017:06:14 20:59:59"
"87","photos/20170614T210003 Canon PowerShot SX50 HS--IMG_9108.JPG","2017:06:14 21:00:03"
"88","photos/20170614T210010 Canon PowerShot SX50 HS--IMG_9109.JPG","2017:06:14 21:00:10"
"89","photos/20170614T210017 Canon PowerShot SX50 HS--IMG_9110.JPG","2017:06:14 21:00:17"
"90","photos/20170614T210022 Canon PowerShot SX50 HS--IMG_9111.JPG","2017:06:14 21:00:22"
"91","photos/20170614T210034 Canon PowerShot SX50 HS--IMG_9112.JPG","2017:06:14 21:00:34"
"92","photos/20170614T210040 Canon PowerShot SX50 HS--IMG_9113.JPG","2017:06:14 21:00:40"
"93","photos/20170614T210058 Canon PowerShot SX50 HS--IMG_9114.JPG","2017:06:14 21:00:58"
"94","photos/20170614T210105 Canon PowerShot SX50 HS--IMG_9115.JPG","2017:06:14 21:01:05"
"95","photos/20170614T210119 Canon PowerShot SX50 HS--IMG_9116.JPG","2017:06:14 21:01:19"
"96","photos/20170614T210126 Canon PowerShot SX50 HS--IMG_9117.JPG","2017:06:14 21:01:26"
"97","photos/20170614T210256 Canon PowerShot SX50 HS--IMG_9118.JPG","2017:06:14 21:02:56"
"98","photos/20170614T210303 Canon PowerShot SX50 HS--IMG_9119.JPG","2017:06:14 21:03:03"
"99","photos/20170614T210307 Canon PowerShot SX50 HS--IMG_9120.JPG","2017:06:14 21:03:07"
"100","photos/20170614T210320 Canon PowerShot SX50 HS--IMG_9121.JPG","2017:06:14 21:03:20"
"101","photos/20170614T210501 Canon PowerShot SX50 HS--IMG_9122.JPG","2017:06:14 21:05:01"
"102","photos/20170614T210645 Canon PowerShot SX50 HS--IMG_9123.JPG","2017:06:14 21:06:45"
"103","photos/20170614T210651 Canon PowerShot SX50 HS--IMG_9124.JPG","2017:06:14 21:06:51"
"104","photos/20170614T210705 Canon PowerShot SX50 HS--IMG_9125.JPG","2017:06:14 21:07:05"
"105","photos/20170614T210715 Canon PowerShot SX50 HS--IMG_9126.JPG","2017:06:14 21:07:15"
"106","photos/20170614T210726 Canon PowerShot SX50 HS--IMG_9127.JPG","2017:06:14 21:07:26"
"107","photos/20170614T210732 Canon PowerShot SX50 HS--IMG_9128.JPG","2017:06:14 21:07:32"
"108","photos/20170614T211012 Canon PowerShot SX50 HS--IMG_9129.JPG","2017:06:14 21:10:12"
"109","photos/20170614T211028 Canon PowerShot SX50 HS--IMG_9130.JPG","2017:06:14 21:10:28"
"110","photos/20170614T211032 Canon PowerShot SX50 HS--IMG_9131.JPG","2017:06:14 21:10:32"
"111","photos/20170614T211044 Canon PowerShot SX50 HS--IMG_9132.JPG","2017:06:14 21:10:44"
"112","photos/20170614T211742 Canon PowerShot SX50 HS--IMG_9133.JPG","2017:06:14 21:17:42"
"113","photos/20170614T211755 Canon PowerShot SX50 HS--IMG_9134.JPG","2017:06:14 21:17:55"
"114","photos/20170614T212311 Canon PowerShot SX50 HS--IMG_9135.JPG","2017:06:14 21:23:11"
"115","photos/20170614T212320 Canon PowerShot SX50 HS--IMG_9136.JPG","2017:06:14 21:23:20"
"116","photos/20170614T214327 Canon PowerShot SX50 HS--IMG_9137.JPG","2017:06:14 21:43:27"
"117","photos/20170614T214351 Canon PowerShot SX50 HS--IMG_9138.JPG","2017:06:14 21:43:51"
"118","photos/20170614T214401 Canon PowerShot SX50 HS--IMG_9139.JPG","2017:06:14 21:44:01"
"119","photos/20170614T215256 Canon PowerShot SX50 HS--IMG_9140.JPG","2017:06:14 21:52:56"
"120","photos/20170614T215301 Canon PowerShot SX50 HS--IMG_9141.JPG","2017:06:14 21:53:01"
"121","photos/20170614T215322 Canon PowerShot SX50 HS--IMG_9142.JPG","2017:06:14 21:53:22"
"122","photos/20170614T215326 Canon PowerShot SX50 HS--IMG_9143.JPG","2017:06:14 21:53:26"
"123","photos/20170614T215336 Canon PowerShot SX50 HS--IMG_9144.JPG","2017:06:14 21:53:36"
"124","photos/20170614T215342 Canon PowerShot SX50 HS--IMG_9145.JPG","2017:06:14 21:53:42"
"125","photos/20170614T215718 Canon PowerShot SX50 HS--IMG_9146.JPG","2017:06:14 21:57:18"
"126","photos/20170614T215726 Canon PowerShot SX50 HS--IMG_9147.JPG","2017:06:14 21:57:26"
"127","photos/20170614T215744 Canon PowerShot SX50 HS--IMG_9148.JPG","2017:06:14 21:57:44"
"128","photos/20170614T215748 Canon PowerShot SX50 HS--IMG_9149.JPG","2017:06:14 21:57:48"
"129","photos/20170614T215851 Canon PowerShot SX50 HS--IMG_9150.JPG","2017:06:14 21:58:51"
"130","photos/20170614T215857 Canon PowerShot SX50 HS--IMG_9151.JPG","2017:06:14 21:58:57"
"131","photos/20170614T215900 Canon PowerShot SX50 HS--IMG_9152.JPG","2017:06:14 21:59:00"
"132","photos/20170614T220038 Canon PowerShot SX50 HS--IMG_9153.JPG","2017:06:14 22:00:38"
"133","photos/20170614T220045 Canon PowerShot SX50 HS--IMG_9154.JPG","2017:06:14 22:00:45"
"134","photos/20170614T220051 Canon PowerShot SX50 HS--IMG_9155.JPG","2017:06:14 22:00:51"
"135","photos/20170614T220054 Canon PowerShot SX50 HS--IMG_9156.JPG","2017:06:14 22:00:54"
"136","photos/20170614T220128 Canon PowerShot SX50 HS--IMG_9157.JPG","2017:06:14 22:01:28"
"137","photos/20170614T220139 Canon PowerShot SX50 HS--IMG_9158.JPG","2017:06:14 22:01:39"
"138","photos/20170614T220146 Canon PowerShot SX50 HS--IMG_9159.JPG","2017:06:14 22:01:46"
"139","photos/20170614T220210 Canon PowerShot SX50 HS--IMG_9160.JPG","2017:06:14 22:02:10"
"140","photos/20170614T222215 Canon PowerShot SX50 HS--IMG_9161.JPG","2017:06:14 22:22:15"
"141","photos/20170614T222219 Canon PowerShot SX50 HS--IMG_9162.JPG","2017:06:14 22:22:19"
"142","photos/20170615T011416 Canon PowerShot SX50 HS--IMG_9163.JPG","2017:06:15 01:14:16"
"143","photos/20170615T011421 Canon PowerShot SX50 HS--IMG_9164.JPG","2017:06:15 01:14:21"
"144","photos/20170615T011444 Canon PowerShot SX50 HS--IMG_9165.JPG","2017:06:15 01:14:44"
"145","photos/20170615T011449 Canon PowerShot SX50 HS--IMG_9166.JPG","2017:06:15 01:14:49"
"146","photos/20170615T011508 Canon PowerShot SX50 HS--IMG_9167.JPG","2017:06:15 01:15:08"
"147","photos/20170615T011520 Canon PowerShot SX50 HS--IMG_9168.JPG","2017:06:15 01:15:20"
"148","photos/20170615T011528 Canon PowerShot SX50 HS--IMG_9169.JPG","2017:06:15 01:15:28"
"149","photos/20170615T011807 Canon PowerShot SX50 HS--IMG_9170.JPG","2017:06:15 01:18:07"
"150","photos/20170615T011812 Canon PowerShot SX50 HS--IMG_9171.JPG","2017:06:15 01:18:12"
"151","photos/20170615T011821 Canon PowerShot SX50 HS--IMG_9172.JPG","2017:06:15 01:18:21"
"152","photos/20170615T012111 Canon PowerShot SX50 HS--IMG_9173.JPG","2017:06:15 01:21:11"
"153","photos/20170615T012124 Canon PowerShot SX50 HS--IMG_9174.JPG","2017:06:15 01:21:24"
"154","photos/20170615T012151 Canon PowerShot SX50 HS--IMG_9175.JPG","2017:06:15 01:21:51"
"155","photos/20170615T012155 Canon PowerShot SX50 HS--IMG_9176.JPG","2017:06:15 01:21:55"
"156","photos/20170615T012159 Canon PowerShot SX50 HS--IMG_9177.JPG","2017:06:15 01:21:59"
"157","photos/20170615T032353 Canon PowerShot SX50 HS--IMG_9178.JPG","2017:06:15 03:23:53"
"158","photos/20170615T062913 Canon PowerShot SX50 HS--IMG_9180.JPG","2017:06:15 06:29:13"
"159","photos/20170615T062921 Canon PowerShot SX50 HS--IMG_9181.JPG","2017:06:15 06:29:21"
"160","photos/20170615T062925 Canon PowerShot SX50 HS--IMG_9182.JPG","2017:06:15 06:29:25"
"161","photos/20170615T062943 Canon PowerShot SX50 HS--IMG_9183.JPG","2017:06:15 06:29:43"
"162","photos/20170615T063018 Canon PowerShot SX50 HS--IMG_9184.JPG","2017:06:15 06:30:18"
"163","photos/20170615T063052 Canon PowerShot SX50 HS--IMG_9185.JPG","2017:06:15 06:30:52"
"164","photos/20170615T063112 Canon PowerShot SX50 HS--IMG_9186.JPG","2017:06:15 06:31:12"
"165","photos/20170615T063139 Canon PowerShot SX50 HS--IMG_9187.JPG","2017:06:15 06:31:39"
"166","photos/20170615T063153 Canon PowerShot SX50 HS--IMG_9188.JPG","2017:06:15 06:31:53"
"167","photos/20170615T063203 Canon PowerShot SX50 HS--IMG_9189.JPG","2017:06:15 06:32:03"
"168","photos/20170615T063225 Canon PowerShot SX50 HS--IMG_9190.JPG","2017:06:15 06:32:25"
"169","photos/20170615T063558 Canon PowerShot SX50 HS--IMG_9191.JPG","2017:06:15 06:35:58"
"170","photos/20170615T063731 Canon PowerShot SX50 HS--IMG_9192.JPG","2017:06:15 06:37:31"
"171","photos/20170615T063826 Canon PowerShot SX50 HS--IMG_9193.JPG","2017:06:15 06:38:26"
"172","photos/20170615T063832 Canon PowerShot SX50 HS--IMG_9194.JPG","2017:06:15 06:38:32"
"173","photos/20170615T064305 Canon PowerShot SX50 HS--IMG_9195.JPG","2017:06:15 06:43:05"
"174","photos/20170615T064314 Canon PowerShot SX50 HS--IMG_9196.JPG","2017:06:15 06:43:14"
"175","photos/20170615T064600 Canon PowerShot SX50 HS--IMG_9197.JPG","2017:06:15 06:46:00"
"176","photos/20170615T064652 Canon PowerShot SX50 HS--IMG_9198.JPG","2017:06:15 06:46:52"
"177","photos/20170615T065715 Canon PowerShot SX50 HS--IMG_9199.JPG","2017:06:15 06:57:15"
"178","photos/20170615T065720 Canon PowerShot SX50 HS--IMG_9200.JPG","2017:06:15 06:57:20"
"179","photos/20170615T065745 Canon PowerShot SX50 HS--IMG_9201.JPG","2017:06:15 06:57:45"
"180","photos/20170615T065751 Canon PowerShot SX50 HS--IMG_9202.JPG","2017:06:15 06:57:51"
"181","photos/20170615T065810 Canon PowerShot SX50 HS--IMG_9203.JPG","2017:06:15 06:58:10"
"182","photos/20170615T065821 Canon PowerShot SX50 HS--IMG_9204.JPG","2017:06:15 06:58:21"
"183","photos/20170615T065827 Canon PowerShot SX50 HS--IMG_9205.JPG","2017:06:15 06:58:27"
"184","photos/20170615T065831 Canon PowerShot SX50 HS--IMG_9206.JPG","2017:06:15 06:58:31"
"185","photos/20170615T065839 Canon PowerShot SX50 HS--IMG_9207.JPG","2017:06:15 06:58:39"
"186","photos/20170615T065849 Canon PowerShot SX50 HS--IMG_9208.JPG","2017:06:15 06:58:49"
"187","photos/20170615T065907 Canon PowerShot SX50 HS--IMG_9209.JPG","2017:06:15 06:59:07"
"188","photos/20170615T065918 Canon PowerShot SX50 HS--IMG_9210.JPG","2017:06:15 06:59:18"
"189","photos/20170615T070000 Canon PowerShot SX50 HS--IMG_9211.JPG","2017:06:15 07:00:00"
"190","photos/20170615T070018 Canon PowerShot SX50 HS--IMG_9212.JPG","2017:06:15 07:00:18"
"191","photos/20170615T070105 Canon PowerShot SX50 HS--IMG_9213.JPG","2017:06:15 07:01:05"
"192","photos/20170615T070118 Canon PowerShot SX50 HS--IMG_9214.JPG","2017:06:15 07:01:18"
"193","photos/20170615T070235 Canon PowerShot SX50 HS--IMG_9215.JPG","2017:06:15 07:02:35"
"194","photos/20170615T070244 Canon PowerShot SX50 HS--IMG_9216.JPG","2017:06:15 07:02:44"
"195","photos/20170615T070259 Canon PowerShot SX50 HS--IMG_9217.JPG","2017:06:15 07:02:59"
"196","photos/20170615T070305 Canon PowerShot SX50 HS--IMG_9218.JPG","2017:06:15 07:03:05"
"197","photos/20170615T070309 Canon PowerShot SX50 HS--IMG_9219.JPG","2017:06:15 07:03:09"
"198","photos/20170615T070321 Canon PowerShot SX50 HS--IMG_9220.JPG","2017:06:15 07:03:21"
"199","photos/20170615T070407 Canon PowerShot SX50 HS--IMG_9221.JPG","2017:06:15 07:04:07"
"200","photos/20170615T070407 Canon PowerShot SX50 HS--IMG_9222.JPG","2017:06:15 07:04:07"
"201","photos/20170615T070425 Canon PowerShot SX50 HS--IMG_9223.JPG","2017:06:15 07:04:25"
"202","photos/20170615T070431 Canon PowerShot SX50 HS--IMG_9224.JPG","2017:06:15 07:04:31"
"203","photos/20170615T070431 Canon PowerShot SX50 HS--IMG_9225.JPG","2017:06:15 07:04:31"
"204","photos/20170615T070432 Canon PowerShot SX50 HS--IMG_9226.JPG","2017:06:15 07:04:32"
"205","photos/20170615T070432 Canon PowerShot SX50 HS--IMG_9227.JPG","2017:06:15 07:04:32"
"206","photos/20170615T070522 Canon PowerShot SX50 HS--IMG_9228.JPG","2017:06:15 07:05:22"
"207","photos/20170615T070522 Canon PowerShot SX50 HS--IMG_9229.JPG","2017:06:15 07:05:22"
"208","photos/20170615T070522 Canon PowerShot SX50 HS--IMG_9230.JPG","2017:06:15 07:05:22"
"209","photos/20170615T070523 Canon PowerShot SX50 HS--IMG_9231.JPG","2017:06:15 07:05:23"
"210","photos/20170615T070533 Canon PowerShot SX50 HS--IMG_9232.JPG","2017:06:15 07:05:33"
"211","photos/20170615T070533 Canon PowerShot SX50 HS--IMG_9233.JPG","2017:06:15 07:05:33"
"212","photos/20170615T070533 Canon PowerShot SX50 HS--IMG_9234.JPG","2017:06:15 07:05:33"
"213","photos/20170615T070533 Canon PowerShot SX50 HS--IMG_9235.JPG","2017:06:15 07:05:33"
"214","photos/20170615T070541 Canon PowerShot SX50 HS--IMG_9236.JPG","2017:06:15 07:05:41"
"215","photos/20170615T070541 Canon PowerShot SX50 HS--IMG_9237.JPG","2017:06:15 07:05:41"
"216","photos/20170615T070541 Canon PowerShot SX50 HS--IMG_9238.JPG","2017:06:15 07:05:41"
"217","photos/20170615T070603 Canon PowerShot SX50 HS--IMG_9239.JPG","2017:06:15 07:06:03"
"218","photos/20170615T070604 Canon PowerShot SX50 HS--IMG_9240.JPG","2017:06:15 07:06:04"
"219","photos/20170615T070604 Canon PowerShot SX50 HS--IMG_9241.JPG","2017:06:15 07:06:04"
"220","photos/20170615T070608 Canon PowerShot SX50 HS--IMG_9242.JPG","2017:06:15 07:06:08"
"221","photos/20170615T070608 Canon PowerShot SX50 HS--IMG_9243.JPG","2017:06:15 07:06:08"
"222","photos/20170615T070609 Canon PowerShot SX50 HS--IMG_9244.JPG","2017:06:15 07:06:09"
"223","photos/20170615T070609 Canon PowerShot SX50 HS--IMG_9245.JPG","2017:06:15 07:06:09"
"224","photos/20170615T070617 Canon PowerShot SX50 HS--IMG_9246.JPG","2017:06:15 07:06:17"
"225","photos/20170615T070617 Canon PowerShot SX50 HS--IMG_9247.JPG","2017:06:15 07:06:17"
"226","photos/20170615T070631 Canon PowerShot SX50 HS--IMG_9248.JPG","2017:06:15 07:06:31"
"227","photos/20170615T070631 Canon PowerShot SX50 HS--IMG_9249.JPG","2017:06:15 07:06:31"
"228","photos/20170615T070638 Canon PowerShot SX50 HS--IMG_9250.JPG","2017:06:15 07:06:38"
"229","photos/20170615T070638 Canon PowerShot SX50 HS--IMG_9251.JPG","2017:06:15 07:06:38"
"230","photos/20170615T070733 Canon PowerShot SX50 HS--IMG_9252.JPG","2017:06:15 07:07:33"
"231","photos/20170615T070733 Canon PowerShot SX50 HS--IMG_9253.JPG","2017:06:15 07:07:33"
"232","photos/20170615T070734 Canon PowerShot SX50 HS--IMG_9254.JPG","2017:06:15 07:07:34"
"233","photos/20170615T070738 Canon PowerShot SX50 HS--IMG_9255.JPG","2017:06:15 07:07:38"
"234","photos/20170615T070738 Canon PowerShot SX50 HS--IMG_9256.JPG","2017:06:15 07:07:38"
"235","photos/20170615T070744 Canon PowerShot SX50 HS--IMG_9257.JPG","2017:06:15 07:07:44"
"236","photos/20170615T070744 Canon PowerShot SX50 HS--IMG_9258.JPG","2017:06:15 07:07:44"
"237","photos/20170615T070745 Canon PowerShot SX50 HS--IMG_9259.JPG","2017:06:15 07:07:45"
"238","photos/20170615T070828 Canon PowerShot SX50 HS--IMG_9261.JPG","2017:06:15 07:08:28"
"239","photos/20170615T070828 Canon PowerShot SX50 HS--IMG_9262.JPG","2017:06:15 07:08:28"
"240","photos/20170615T070910 Canon PowerShot SX50 HS--IMG_9263.JPG","2017:06:15 07:09:10"
"241","photos/20170615T070932 Canon PowerShot SX50 HS--IMG_9264.JPG","2017:06:15 07:09:32"
"242","photos/20170615T071002 Canon PowerShot SX50 HS--IMG_9265.JPG","2017:06:15 07:10:02"
"243","photos/20170615T071633 Canon PowerShot SX50 HS--IMG_9266.JPG","2017:06:15 07:16:33"
"244","photos/20170615T071641 Canon PowerShot SX50 HS--IMG_9267.JPG","2017:06:15 07:16:41"
"245","photos/20170615T071653 Canon PowerShot SX50 HS--IMG_9268.JPG","2017:06:15 07:16:53"
"246","photos/20170615T071715 Canon PowerShot SX50 HS--IMG_9269.JPG","2017:06:15 07:17:15"
"247","photos/20170615T071721 Canon PowerShot SX50 HS--IMG_9270.JPG","2017:06:15 07:17:21"
"248","photos/20170615T071726 Canon PowerShot SX50 HS--IMG_9271.JPG","2017:06:15 07:17:26"
"249","photos/20170615T071735 Canon PowerShot SX50 HS--IMG_9272.JPG","2017:06:15 07:17:35"
"250","photos/20170615T094409 Canon PowerShot SX50 HS--IMG_9276.JPG","2017:06:15 09:44:09"
"251","photos/20170615T094431 Canon PowerShot SX50 HS--IMG_9277.JPG","2017:06:15 09:44:31"
"252","photos/20170615T094440 Canon PowerShot SX50 HS--IMG_9278.JPG","2017:06:15 09:44:40"
"253","photos/20170615T094445 Canon PowerShot SX50 HS--IMG_9279.JPG","2017:06:15 09:44:45"
"254","photos/20170615T094508 Canon PowerShot SX50 HS--IMG_9280 (1).JPG","2017:06:15 09:45:08"
"255","photos/20170615T094508 Canon PowerShot SX50 HS--IMG_9280.JPG","2017:06:15 09:45:08"
"256","photos/20170615T094519 Canon PowerShot SX50 HS--IMG_9281.JPG","2017:06:15 09:45:19"
"257","photos/20170615T094528 Canon PowerShot SX50 HS--IMG_9282.JPG","2017:06:15 09:45:28"
"258","photos/20170615T094552 Canon PowerShot SX50 HS--IMG_9283.JPG","2017:06:15 09:45:52"
"259","photos/20170615T094559 Canon PowerShot SX50 HS--IMG_9284.JPG","2017:06:15 09:45:59"
"260","photos/20170615T094622 Canon PowerShot SX50 HS--IMG_9285.JPG","2017:06:15 09:46:22"
"261","photos/20170615T094637 Canon PowerShot SX50 HS--IMG_9286.JPG","2017:06:15 09:46:37"
"262","photos/20170615T094654 Canon PowerShot SX50 HS--IMG_9287.JPG","2017:06:15 09:46:54"
"263","photos/20170615T094657 Canon PowerShot SX50 HS--IMG_9288.JPG","2017:06:15 09:46:57"
